66966	14964
63494	59559
80106	35603
90397	87402
91209	4923
54061	67783
66597	90618
66966	78277
48577	85628
78065	16301
84393	83250
31065	17813
73340	63494
44323	1134
114390	40446
15035	74455
109729	97155
41192	41805
66083	49590
42811	149
72357	47697
93859	42913
114694	8290
217	3694
114036	56870
1342	46309
26173	73040
30880	63201
35774	97320
54685	24310
43099	14984
90495	75606
66520	105944
92099	28444
73340	97115
25832	36582
46494	96783
90057	2680
66467	35524
73913	7991
71980	14964
71368	15405
8836	23379
70986	53169
80558	86291
89858	62504
76336	10915
70346	32934
75157	111176
28972	71672
217	10394
103221	108422
57734	20950
12372	9106
42589	72239
79842	42107
31065	105794
103221	38424
42778	97220
59650	45799
88046	87548
41861	96713
114625	17806
62486	116078
21459	78777
10271	59892
57413	9194
68539	85018
9897	83912
105871	77122
31950	23870
54591	83120
8586	43893
98703	82012
63102	63548
43419	108401
110746	19435
69690	22897
13873	88823
41861	14433
109196	57047
67783	61245
37395	13891
83804	95378
57727	98501
87346	43481
48794	85018
17117	4468
111584	66482
4694	7827
18848	59072
48577	12361
10903	116225
102836	72143
66597	38199
68387	56260
101117	90117
104390	87844
43099	7081
344	90898
59871	50163
1264	81049
35328	105432
35741	83594
59981	21595
15164	18625
17397	2680
55550	105296
50843	106376
17768	3494
21595	114985
28509	2842
89527	61455
44603	113876
1955	2605
6082	3144
16919	113302
87531	113193
97155	77748
10513	55489
55676	80666
11208	21193
70218	115182
14579	88780
90710	100294
74068	548
4429	57482
19518	29995
23988	70986
88537	64421
115591	97158
6075	48372
16345	22285
89858	4214
10903	108431
14073	39796
73913	109397
54685	65247
50843	13163
75201	79235
61298	13721
60706	92466
369	93738
18284	24185
103584	76689
52492	105649
143	23815
80399	24617
199	75734
1342	8370
21789	2020
92007	31092
20768	32731
101904	72095
43099	83695
76732	87799
14575	88690
77132	65840
95813	115425
3151	50862
109007	13413
100672	109122
75201	85567
6075	91770
2728	32960
17768	16621
77863	116199
101904	41884
28260	70925
80399	18013
67452	80814
104539	63784
51466	104451
72231	37161
11208	79832
12189	9992
68544	60537
89527	40952
103584	5464
84886	26601
48577	91183
71320	5485
1474	11929
88046	8419
41192	81341
79910	41967
31950	50824
75201	55807
35227	14841
61679	19608
68544	10847
63080	13324
109196	18989
14073	88838
8836	5306
44905	87499
83879	9087
51860	107080
75365	48342
21459	99339
67452	2931
17117	101318
41990	28260
12372	109527
111163	66100
67999	44100
89142	91180
61306	9341
74125	25263
16834	80429
116178	11185
81763	64061
89527	105495
59942	94161
100715	20217
111584	68258
23241	17882
2842	26520
17117	67036
8290	96446
102320	112389
67632	26314
27375	60885
28359	20984
115122	109156
43419	111280
83120	92699
23077	41280
108429	90356
49604	85857
103584	96666
17768	70894
70925	105687
344	91037
61847	9194
80912	54685
3081	21449
114193	9588
66966	20531
67978	94798
30113	55686
54439	6562
14841	114036
8337	74202
31065	58741
17117	14491
2779	15154
54389	106099
70346	49247
116099	105432
90397	54439
82968	77424
98703	62711
27009	71980
101008	101577
103713	89197
22754	59797
77870	18375
17873	16788
68539	12971
51860	13058
23077	114044
35328	69512
37756	8836
104314	64116
24997	100208
67978	66704
47193	29400
62948	83664
71368	22354
67844	43480
64629	107782
37577	52478
15035	105443
114104	48969
51716	8967
35328	111029
90796	20462
52492	69357
57464	6502
23545	6104
3151	60128
28540	112182
116099	113087
81724	65039
37854	108639
105432	89858
52513	46422
104331	94905
91209	104793
17117	20955
87164	19877
11812	16045
15828	106956
68539	104820
111449	2852
17117	90035
47193	2806
63162	1405
14246	36415
85573	41990
70936	17219
90057	92235
54389	109195
5645	1481
24888	56011
3483	75702
61467	50813
15828	75734
23469	28035
50289	67486
9101	23782
61701	14841
27902	34065
77751	81825
71573	37325
95813	51444
18629	38121
57413	4727
78264	4605
2605	60952
199	102145
10271	64947
112401	36992
46494	467
104390	112501
64116	79520
93364	110685
41296	103318
16747	35227
75743	64409
41296	42905
33048	23284
106989	48577
73925	6791
14980	77704
75201	93837
14980	107684
40550	51867
78294	37702
81724	42490
41577	112339
3640	35947
88424	108027
70218	968
2116	114983
107466	95268
39954	41861
2728	58752
21459	67333
105858	109462
42778	109192
42778	18333
15828	59142
112401	63405
83683	83738
39729	49390
16345	103735
88046	369
68618	61095
16269	49604
78068	43060
105031	32537
95420	45442
115425	61276
97155	69991
31858	35560
3483	4604
76965	86303
31811	43973
20768	38497
86104	63102
6040	37416
100672	92506
74125	23480
9488	7209
90418	112024
2779	55884
47551	76460
77492	94730
71573	53727
143	114407
54389	35984
109499	106917
48148	293
6276	54591
2779	32613
102836	68598
98320	49604
78065	87997
12372	100255
38837	92067
102320	104375
100672	12113
88537	96782
30408	22751
14073	42324
23469	777
42246	104593
30802	64116
92007	60706
114625	17461
105649	6886
54208	68788
41861	73318
41192	182
12670	92386
5913	78777
85195	110624
36870	55892
49712	18197
81942	328
92067	64701
39425	30717
48794	54061
16539	100009
64192	60674
51874	76753
78068	90672
81131	66951
54439	109877
90365	113618
112235	85646
15828	42772
84393	20937
30559	94892
79372	52498
88780	112159
83879	97072
109729	89856
101635	57287
1342	82486
75157	77586
14841	15240
55550	72230
62999	98276
6082	8496
199	113653
58127	41303
103204	33548
24888	18703
45321	27159
116178	31047
116570	14571
94646	77352
103221	107832
23545	63485
41192	1796
60374	74455
38837	87733
10903	46410
42811	89527
103318	17873
62889	94646
89142	73680
68387	71614
68618	72434
94730	46424
77863	30802
115122	52425
68387	99047
82968	9856
19444	81582
74455	62948
79842	9001
68618	36432
35744	47058
19444	2748
112064	7978
68774	82172
87943	41981
55550	64184
25826	112401
30788	6525
104390	80106
112824	52498
15240	71061
33240	71366
35328	31411
13930	104282
65068	4581
47551	59542
38837	99399
46027	6547
83738	78264
115122	11038
68618	82344
7357	19444
45158	12131
91659	108663
6887	5566
77132	20221
90418	88074
114390	54836
44905	74125
10553	101113
57464	111980
45313	32585
398	31638
98737	15240
46686	58426
96106	63691
115122	37977
62792	93868
104314	777
31950	16358
89495	64116
15240	52350
67452	11835
10915	113242
105495	9165
46538	34236
104390	61742
64161	19842
6075	46177
3483	96372
91209	113226
89495	3269
108429	72240
3151	98994
8337	113850
47551	41699
80613	75964
62792	35355
41861	80563
35612	73925
48577	55541
109729	92099
104331	10987
11208	18848
73925	27739
30802	61109
80511	15317
116803	54980
64629	45069
115425	83448
31065	19812
88838	109461
11208	84126
42629	25460
6377	106763
10553	25262
37109	112019
57870	51882
81851	10062
49857	71493
111012	29253
30857	89493
61847	59517
105649	15252
89858	109248
217	34670
71320	29090
66373	22817
35082	84886
21459	10036
26179	12078
32815	39633
8659	80063
11208	115747
90796	55700
16345	115057
32815	101970
42811	74232
73672	72064
78068	73054
30307	92789
71179	114007
81503	97085
4429	76318
16345	75143
88780	22153
10553	17079
31065	41930
104541	73203
